Urban area,State,Population,Housing,Land area (square miles)
Abbeville, LA,"18,078","8,521",11.1
Abbeville, SC,"4,940","2,453",4.9
Aberdeen, SD,"27,982","13,246",13.9
Aberdeen, WA,"26,603","11,561",11
Abilene, KS,"6,605","3,216",3.6
Abilene, TX,"118,138","50,514",62
Ada, OH,"5,343","1,984",2.1
Ada, OK,"17,264","8,654",14.2
Adairsville, GA,"5,799","2,287",5.4
Adel, GA,"7,034","2,965",6.1
Adel, IA,"5,674","2,250",2.7
Adjuntas, PR,"8,008","3,687",4.9
Adrian, MI,"29,206","11,726",13.4
Agat_Apra Harbor, GU,"8,712","2,881",4
Aguadilla_Isabela_San Sebastián, PR,"232,573","114,369",187.3
Ahoskie, NC,"4,861","2,308",3.3
Aibonito, PR,"20,255","9,140",13.3
Akron, OH,"541,879","251,080",300.6
Alamogordo, NM,"30,801","15,200",13.7
Alamosa, CO,"10,965","4,656",7.7
Albany, GA,"85,960","39,864",66.5
Albany, OR,"62,074","25,245",23
Albany_Schenectady, NY,"593,142","272,369",271.3
Albemarle, NC,"16,988","7,840",16.7
Albert Lea, MN,"17,992","8,366",10.8
Albertville, AL,"38,476","15,505",34.8
Albion, MI,"8,133","3,472",4.7
Albion, NY,"7,216","2,746",2.9
Albuquerque, NM,"769,837","335,464",263.1
Alexander City, AL,"8,920","4,428",9.8
Alexandria, IN,"6,140","2,955",3.8
Alexandria, LA,"78,305","35,538",64.7
Alexandria, MN,"18,957","9,895",22.6
Algona, IA,"5,443","2,684",3.4
Alice, TX,"19,413","7,966",10
Allegan, MI,"7,247","3,137",6.9
Allendale, MI,"25,094","8,006",10.5
Allentown_Bethlehem, PA_NJ,"621,703","251,480",261.5
Alliance, NE,"8,119","3,956",4.9
Alliance, OH,"30,944","14,282",17.3
Alma_St. Louis, MI,"17,417","5,455",9
Alpena, MI,"15,425","8,062",12.7
Alpine, CA,"13,307","5,022",9.8
Alpine, TX,"6,283","3,292",4.3
Altavista, VA,"4,597","2,250",5.9
Alton, IL,"79,260","38,052",59.7
Altoona, PA,"74,426","34,467",37
Altus, OK,"18,870","9,194",15.7
Alva, OK,"5,145","2,637",3.6
Alvarado, TX,"5,034","1,869",3
Amarillo, TX,"205,860","87,615",84
Americus, GA,"17,407","7,609",11
Ames, IA,"66,342","27,846",22.4
Amherst Town_Northampton_Easthampton Town, MA,"90,570","35,432",54.7
Amory, MS,"5,977","2,952",5.6
Amsterdam, NY,"21,753","10,808",10.1
Anaconda_Deer Lodge County, MT,"6,697","3,828",2.6
Anacortes, WA,"18,529","8,883",9.9
Anadarko, OK,"5,005","2,252",2.1
Anamosa, IA,"5,411","2,093",2.6
Anchorage Northeast, AK,"29,561","11,251",17.7
Anchorage, AK,"249,252","101,938",91.7
Andalusia, AL,"6,391","3,351",6.9
Anderson, IN,"79,517","36,893",52.2
Anderson_Clemson, SC,"118,369","50,811",95.9
Andrews, TX,"15,201","5,797",9.5
Angleton, TX,"19,866","8,221",10.9
Angola, IN,"12,686","6,728",12.4
Ann Arbor, MI,"317,689","137,325",143.5
Anna, IL,"6,068","2,749",4.4
Anniston_Oxford, AL,"78,302","35,959",78.9
Antigo, WI,"8,071","4,130",4.8
Antioch, CA,"326,205","104,264",73.3
Appleton, WI,"230,967","98,811",107.8
Arab, AL,"7,849","3,494",8.7
Aransas Pass_Port Aransas_Ingleside, TX,"21,868","13,912",24.6
Arcadia, FL,"16,128","7,287",10
Arcata, CA,"19,714","8,796",7.9
Ardmore, OK,"21,403","10,020",15
Arecibo, PR,"123,724","59,095",75.5
Arizona City, AZ,"9,640","4,466",4.3
Arkadelphia, AR,"10,086","4,205",6.2
Arkansas City, KS,"11,878","5,372",6.8
Arlington, TN,"14,230","4,634",7.7
Arroyo Grande_Grover Beach_Pismo Beach, CA,"50,885","25,235",17.1
Artesia, NM,"14,149","5,937",6.8
Arvin, CA,"19,385","4,870",2.3
Asbury Lake_Middleburg, FL,"23,649","8,746",23
Ashburn, GA,"4,738","2,086",4.2
Asheboro, NC,"37,523","16,252",27.4
Asheville, NC,"285,776","138,374",248.6
Ashland, OH,"19,206","8,954",9.9
Ashland, PA,"4,249","2,530",1.4
Ashland, WI,"7,225","3,543",4.2
Ashtabula, OH,"27,421","14,439",21.7
Ashville, OH,"6,670","2,715",3.8
Aspen, CO,"7,674","6,597",5.2
Astoria, OR,"15,825","7,690",9.7
Atchison, KS,"10,907","4,385",5.4
Athens, AL,"23,204","10,492",20.1
Athens, OH,"27,355","10,036",9.5
Athens, TN,"15,724","7,179",15.5
Athens, TX,"12,050","4,960",9.3
Athens_Clarke County, GA,"143,213","60,979",91.8
Athol, MA,"13,557","6,243",10.6
Atlanta, GA,"4,999,259","1,998,084",2450.5
Atlanta, TX,"5,531","2,659",6.8
Atlantic City_Ocean City_Villas, NJ,"294,921","201,613",162.9
Atlantic, IA,"6,608","3,309",4.5
Atmore, AL,"6,390","3,151",5.1
Atoka, TN,"13,056","4,834",9.9
Au Gres, MI,"1,869","2,201",4
Aubrey, TX,"5,116","1,963",2.7
Auburn, AL,"100,842","44,840",61.2
Auburn, CA,"31,371","13,842",17.2
Auburn, IN,"20,346","8,813",9.9
Auburn, NY,"31,433","15,338",13.1
Augusta, KS,"9,231","4,004",3.7
Augusta, ME,"24,005","12,627",21.9
Augusta_Richmond County, GA_SC,"431,480","184,589",273.3
Aurora, MO,"7,466","3,488",5.3
Austin, MN,"25,479","10,764",10
Austin, TX,"1,809,888","765,527",619.6
Avalon, CA,"3,362","2,165",1.2
Avenal, CA,"13,304","2,480",3.6
Aztec, NM,"7,301","3,446",6.8
Bainbridge, GA,"13,857","6,070",10.7
Baker City, OR,"9,768","4,509",4.5
Bakersfield, CA,"570,235","186,629",132.1
Baltimore, MD,"2,212,038","944,161",654.9
Bandon, OR,"4,104","2,514",4.9
Bangor, ME,"61,539","28,723",51.1
Baraboo, WI,"14,201","6,569",6.8
Barbourville, KY,"5,998","2,744",5.3
Barceloneta_Florida_Bajadero, PR,"65,070","29,534",41.7
Bardstown, KY,"17,682","7,738",13.4
Barnesville, GA,"6,825","2,796",5.8
Barnstable Town, MA,"303,269","195,668",341.3
Barre_Montpelier, VT,"20,014","10,096",14.4
Barstow, CA,"30,522","11,453",12.4
Bartlesville, OK,"39,479","18,237",19.8
Bartow, FL,"16,948","7,166",7.9
Basalt, CO,"8,127","3,458",3.6
Bastrop, LA,"12,604","5,701",10.3
Bastrop, TX,"19,384","7,798",18.1
Batavia, NY,"17,472","8,308",8.1
Batesburg_Leesville, SC,"4,989","2,342",5.6
Batesville, AR,"10,913","4,724",7.8
Batesville, IN,"7,941","3,285",5.5
Batesville, MS,"6,273","2,643",6.3
Bath, NY,"6,335","3,264",2.9
Baton Rouge, LA,"631,326","273,965",396.3
Battle Creek, MI,"75,513","34,049",47.3
Battlement Mesa, CO,"6,311","2,571",3.1
Baxley, GA,"5,354","2,482",6.3
Bay City, MI,"68,472","33,037",39.9
Bay City, TX,"19,311","8,683",10.4
Bay Minette, AL,"7,685","3,118",7
Bayard, NM,"4,975","2,485",3.1
Bayside Gardens_Manzanita, OR,"2,849","3,052",3
Bealeton, VA,"6,608","2,257",4.4
Beardstown, IL,"6,262","2,505",2.1
Beatrice, NE,"12,142","6,011",8.7
Beaufort_Port Royal, SC,"52,515","21,456",43.8
Beaumont, TX,"146,649","65,409",96.1
Beaver Dam, KY,"5,658","2,566",3.4
Beaver Dam, WI,"18,824","8,633",9.4
Beckley, WV,"57,468","27,981",53.6
Bedford, IN,"14,432","6,932",8.5
Bedford, PA,"4,392","2,426",3.8
Bedford, VA,"7,541","3,587",8.6
Beebe, AR,"7,216","2,969",4.5
Beeville, TX,"14,230","6,110",6.3
Bel Air_Aberdeen, MD,"214,647","86,017",107.2
Belding, MI,"5,611","2,285",2.9
Belfair, WA,"5,141","3,022",5.3
Belfast, ME,"3,754","2,484",3.5
Belgrade, MT,"18,534","7,215",13.3
Belle Fourche, SD,"5,089","2,375",2.9
Belle Glade, FL,"23,009","7,996",7.2
Belle Plaine, MN,"7,061","2,629",3.5
Bellefontaine, OH,"14,024","6,358",6.2
Bellefonte, PA,"15,588","6,424",7.8
Bellevue, OH,"8,400","3,759",4.5
Bellingham, WA,"128,979","56,420",50.1
Bellows Falls, VT_NH,"3,978","2,072",2.4
Beloit, WI_IL,"63,073","26,188",31.9
Belterra, TX,"8,075","2,807",3.4
Belton, SC,"5,301","2,518",4.6
Bemidji, MN,"14,849","6,747",14.5
Bend, OR,"106,988","47,859",42.4
Bennettsville, SC,"9,075","4,618",7.5
Bennington, VT,"13,759","6,140",11.6
Benson, AZ,"3,830","2,342",2.7
Benton Harbor_Lincoln_St. Joseph, MI,"61,888","30,730",52.5
Benton, IL,"7,491","3,737",5
Benton, KY,"4,691","2,114",4.1
Benton, LA,"5,591","2,150",4.5
Berea, KY,"16,158","6,631",11.5
Berlin, NH,"9,658","5,339",4.9
Berlin, WI,"5,289","2,495",3.5
Berryville, AR,"5,057","2,008",4.2
Bethel, AK,"5,097","1,756",15
Beverly Hills_Homosassa Springs_Pine Ridge, FL,"96,729","50,309",118.8
Big Bear, CA,"16,498","20,795",15.9
Big Lake, MN,"11,868","4,293",5.4
Big Pine Key, FL,"8,441","6,099",8.5
Big Rapids, MI,"10,136","5,122",7.3
Big Spring, TX,"28,955","11,433",20.6
Big Stone Gap, VA,"6,915","2,830",6.6
Billings, MT,"128,787","57,343",54.7
Binghamton, NY,"155,942","72,333",69.7
Birch Bay, WA,"15,833","8,619",13.1
Birdsboro_Amity, PA,"16,999","6,533",8.6
Birmingham, AL,"774,956","346,732",509.3
Bisbee, AZ,"4,637","3,033",3.2
Bishop, CA,"11,013","5,104",5.5
Bismarck, ND,"98,198","45,189",41.9
Black River Falls, WI,"4,415","2,155",3.7
Blackfoot, ID,"14,231","5,387",7.5
Blacksburg_Christiansburg, VA,"72,400","29,193",34
Blackwell, OK,"6,017","3,186",3.8
Blair, NE,"8,001","3,531",8.2
Blairsville, PA,"6,156","3,377",5.2
Bloomfield, NM,"7,841","3,151",6.2
Bloomington, IN,"110,103","50,119",43
Bloomington_Normal, IL,"134,100","59,416",50.4
Bloomsburg_Berwick, PA,"39,212","17,812",20.7
Blowing Rock, NC,"1,412","2,085",3.2
Bluefield, WV_VA,"40,750","20,450",38.7
Bluffton East_Hilton Head Island, SC,"71,824","43,742",63.2
Bluffton West, SC,"31,096","15,069",23.3
Bluffton, IN,"10,346","4,758",6.5
Blythe, CA_AZ,"11,780","5,054",6.2
Blytheville, AR,"15,873","7,845",14.5
Boerne, TX,"18,320","7,410",9.7
Bogalusa, LA,"11,019","5,759",10.9
Boise City, ID,"433,180","177,221",139.2
Bolivar, MO,"10,324","4,442",5.9
Bolivar, TN,"5,281","2,437",4.7
Bonham, TX,"7,799","3,341",5
Bonita Springs_Estero, FL,"425,675","280,947",243
Bonne Terre, MO,"6,696","1,946",2.2
Boone, IA,"12,357","5,905",7.6
Boone, NC,"26,306","10,905",18.2
Booneville, MS,"6,438","2,626",6.4
Boonville, IN,"6,507","2,961",2.8
Boonville, MO,"8,034","3,364",5.8
Boothbay Harbor, ME,"3,067","3,797",11.2
Borger, TX,"12,848","6,288",9.4
Boston, MA_NH,"4,382,009","1,792,967",1655.9
Boulder City, NV,"14,181","7,164",5.7
Boulder, CO,"120,828","52,204",25.4
Bowie, TX,"5,419","2,490",4.3
Bowling Green, KY,"97,814","41,874",52.2
Bowling Green, OH,"30,989","12,956",11.3
Box Elder, SD,"11,386","4,162",6.1
Boyne City, MI,"3,990","2,708",5.3
Bozeman, MT,"59,080","26,060",21.4
Bradenton_Sarasota_Venice, FL,"779,075","447,842",404.3
Bradford, PA_NY,"11,182","4,980",5.7
Brady, TX,"4,887","2,528",2.9
Brainerd, MN,"20,687","9,316",16.1
Brandon, SD,"10,959","4,021",4.7
Branson, MO,"28,640","16,198",34.8
Brattleboro, VT,"10,285","5,500",5.7
Brawley, CA,"26,270","8,559",4.8
Brazil, IN,"10,587","4,722",6.6
Breaux Bridge, LA,"17,542","7,559",21.3
Breckenridge, CO,"8,725","10,276",11.2
Breckenridge, TX,"5,455","2,639",4.8
Breese, IL,"4,637","2,036",2.3
Bremen, GA,"7,327","2,944",7.4
Bremerton, WA,"224,449","91,973",146.9
Brenham, TX,"17,395","7,340",10.3
Brevard, NC,"13,059","6,580",13.8
Brewton, AL,"6,371","3,060",6.3
Bridgeport_Stamford, CT_NY,"916,408","367,076",397.3
Bridgeton, NJ,"35,666","10,832",12.2
Brigham City, UT,"25,827","8,992",10.1
Bristol, TN_VA,"70,638","34,040",68.7
Broadway_Timberville, VA,"7,188","2,960",3.6
Brockport, NY,"13,079","5,554",6.4
Brookfield, MO,"3,869","2,034",3.2
Brookhaven, MS,"10,152","4,815",10
Brookings, OR,"11,294","5,996",7.1
Brookings, SD,"23,674","10,132",11.1
Brooksville, FL,"12,128","6,436",8.4
Brookville, OH,"6,372","2,960",4.1
Brookville, PA,"4,644","2,228",3.6
Brownfield, TX,"8,264","3,524",4.4
Browns Mills, NJ,"27,234","9,507",17.3
Brownsville, TN,"9,621","4,472",7.4
Brownsville, TX,"216,444","73,165",62.1
Brownwood, TX,"21,562","9,768",13.5
Brunswick, MD,"8,269","3,231",3.6
Brunswick, ME,"31,361","15,015",26.8
Brunswick_St. Simons, GA,"68,750","34,174",59
Brush, CO,"5,568","2,242",2.5
Bryan, OH,"9,238","4,406",5.1
Buchanan, MI,"5,640","2,661",4.2
Buckeye North, AZ,"6,796","3,928",2.8
Buckeye, AZ,"23,897","7,659",7.8
Buckhannon, WV,"8,547","3,964",6.5
Bucyrus, OH,"11,772","5,827",6.9
Buellton, CA,"5,161","2,030",1.6
Buena Vista, CO,"5,038","2,075",5.1
Buena Vista, VA,"6,603","2,937",4
Buffalo, MN,"16,439","6,385",8.2
Buffalo, NY,"948,864","442,770",340.5
Buffalo, WY,"4,516","2,316",3.3
Buies Creek_Lillington, NC,"7,391","2,930",7.1
Bullhead City, AZ_NV,"54,396","30,618",35.4
Burkburnett, TX,"10,449","4,632",6.5
Burley, ID,"17,741","6,631",9.5
Burlington, IA_IL,"28,447","14,251",21.1
Burlington, NC,"145,311","61,970",92
Burlington, VT,"118,032","52,015",62
Burlington, WI,"24,086","10,643",12.7
Burnet, TX,"5,001","2,223",3.6
Burns, OR,"4,169","2,058",3
Burnt Store Marina, FL,"4,191","3,220",4.3
Bushnell, FL,"3,664","2,061",2.8
Butler, PA,"37,954","18,787",28.5
Butte_Silver Bow, MT,"30,258","15,141",15.3
Byron, IL,"5,625","2,301",3.3
Byron, MN,"6,341","2,398",3.1
Cadillac, MI,"12,208","6,140",10.9
Cairo, GA,"10,346","4,422",8
Calexico, CA,"38,491","10,793",5.4
Calhoun, GA,"23,066","9,099",20.4
California_Brownsville, PA,"10,185","4,994",6.1
Calistoga, CA,"5,173","2,376",2.3
Calumet, MI,"5,112","2,927",2.5
Camarillo, CA,"76,338","30,143",22.5
Cambria, CA,"5,478","3,924",2.7
Cambridge, MD,"14,978","7,425",8.7
Cambridge, MN,"10,128","4,196",5.9
Cambridge, OH,"14,427","7,367",11
Camden, AR,"9,873","5,192",11.1
Camden, ME,"4,660","2,959",4.1
Camden_Lugoff, SC,"30,655","13,337",34.6
Camdenton, MO,"5,849","3,481",8.9
Cameron, MO,"8,450","2,882",4.5
Cameron, TX,"5,151","2,221",3.5
Camilla, GA,"5,270","2,350",4.7
Camp Verde, AZ,"5,759","2,649",5.2
Campbellsville, KY,"12,789","5,547",8.5
Canajoharie_Fort Plain, NY,"5,278","2,706",4
Canandaigua, NY,"18,049","9,873",13.1
Canastota, NY,"5,616","2,550",3.8
Canby, OR,"19,055","7,104",5.9
Cañon City, CO,"24,737","11,117",15.9
Canton, IL,"13,177","5,828",5.4
Canton, MS,"26,257","10,461",23.7
Canton, NC,"8,812","4,109",8.9
Canton, NY,"6,812","1,815",2.2
Canton, OH,"295,319","132,970",180.2
Canyon Lake, TX,"7,918","4,615",9.2
Canyon, TX,"16,171","6,999",7.3
Cape Coral, FL,"599,242","316,907",331.8
Cape Girardeau, MO_IL,"55,546","24,822",31.2
Carbondale, CO,"7,361","2,887",2.6
Carbondale, IL,"31,488","17,666",21.7
Carlinville, IL,"5,602","2,533",3
Carlsbad, NM,"34,442","14,802",19.5
Carmi, IL,"5,067","2,539",2.6
Caro, MI,"5,383","2,567",4.5
Carrizo Springs, TX,"5,615","2,470",4.2
Carroll, IA,"10,150","4,769",5
Carrollton, GA,"38,385","14,836",34.4
Carrollton, KY,"5,471","2,398",3.5
Carson City, NV,"61,629","26,356",26.2
Cartersville, GA,"52,351","20,867",44.4
Carthage, MO,"16,260","6,432",8.6
Carthage, NY,"5,160","2,551",2.5
Carthage, TX,"6,328","2,841",7.5
Caruthersville, MO,"5,319","2,582",3.2
Casa Grande, AZ,"50,981","22,577",21.5
Casper, WY,"67,751","31,193",27.9
Castle Rock, CO,"85,350","31,345",35.7
Castroville_Prunedale, CA,"12,334","3,180",3.4
Catskill, NY,"7,012","3,733",6.4
Cedar City, UT,"40,899","14,337",18.3
Cedar Rapids, IA,"192,844","86,125",86
Cedartown, GA,"12,833","5,133",9.6
Celina, OH,"12,035","5,519",6.1
Center, TX,"5,123","2,271",6.8
Centerville, IA,"5,269","2,724",3.5
Central City, KY,"5,767","2,242",4.3
Centralia, IL,"15,301","7,386",9.8
Centralia, WA,"42,338","16,951",30.4
Chadron, NE,"4,930","2,213",2.3
Chambersburg, PA,"50,094","21,787",34.7
Champaign, IL,"147,452","68,225",46.5
Chanute, KS,"8,710","4,112",5.8
Chapin, SC,"5,701","2,238",6.3
Chardon, OH,"6,454","3,062",5.2
Charles City, IA,"7,255","3,684",4.1
Charleston, IL,"17,415","8,399",7.8
Charleston, SC,"684,773","305,541",339.1
Charleston, WV,"140,958","71,602",92.9
Charlestown, IN,"6,696","2,881",4
Charlestown, RI,"4,348","3,712",6.3
Charlevoix, MI,"3,777","3,092",4
Charlotte Amalie, VI,"41,534","27,775",23.6
Charlotte, MI,"13,026","5,569",8.4
Charlotte, NC_SC,"1,379,873","576,259",657.6
Charlottesville, VA,"104,191","45,311",36.9
Chatsworth, GA,"12,808","5,030",16.1
Chattanooga, TN_GA,"398,569","176,961",291.7
Cheboygan, MI,"5,142","3,100",6
Chelan, WA,"6,380","4,637",7.5
Chelsea, MI,"5,851","2,661",3.5
Cheney, WA,"13,176","5,346",3.3
Cheraw, SC,"7,480","3,686",7.4
Cherokee, IA,"4,705","2,288",3.1
Cherryville, NC,"6,747","3,027",6.2
Chesapeake Beach, MD,"16,926","7,005",13.1
Chester, IL,"6,338","2,026",4
Chester, NY,"5,900","2,448",4.6
Chester, SC,"8,611","4,093",6.3
Chestertown, MD,"7,392","3,337",4.4
Cheyenne, WY,"79,250","35,732",33.9
Chicago, IL_IN,"8,671,746","3,559,615",2337.9
Chickasha, OK,"15,253","7,017",9.7
Chico, CA,"111,411","48,438",33.7
Childress, TX,"4,516","2,298",3.2
Chillicothe, MO,"9,122","3,910",6
Chillicothe, OH,"31,727","12,864",16.4
Chincoteague, VA,"3,223","4,092",4.1
Chino Valley, AZ,"13,317","5,875",13.7
Chisholm, MN,"4,586","2,296",2.2
Chittenango, NY,"5,054","2,166",2.2
Chowchilla, CA,"13,196","4,417",4.8
Christiansted_Frederiksted, VI,"38,372","23,713",34.4
Ciales, PR,"13,098","5,797",11.6
Cienega Springs, AZ,"2,041","2,934",3.2
Cincinnati, OH_KY,"1,686,744","727,550",752.3
Circleville, OH,"15,679","6,971",7.4
Clanton, AL,"6,423","2,847",9.1
Claremont, NH,"9,415","4,414",6
Claremore, OK,"25,415","10,532",15.4
Clarinda, IA,"5,213","2,105",2.4
Clarion, PA,"5,662","2,746",3.4
Clarksburg, WV,"32,882","16,027",21.2
Clarksdale, MS,"14,408","6,851",7.4
Clarksville, AR,"7,816","3,324",7.8
Clarksville, TN_KY,"200,947","76,824",113.1
Clay Center, KS,"4,131","2,073",2.5
Clayton, NC,"51,898","19,895",36.3
Clayton, NY,"2,092","2,089",2.7
Cle Elum, WA,"3,846","2,369",4.5
Clear Lake, IA,"8,406","5,640",8.6
Clearfield, PA,"10,524","5,418",7.1
Clearlake Riviera, CA,"5,461","3,439",6.7
Clearlake, CA,"17,351","8,262",8.1
Cleburne, TX,"43,901","16,854",24.5
Cleveland, MS,"14,346","6,405",8.2
Cleveland, OH,"1,712,178","808,782",713.8
Cleveland, TN,"73,918","30,584",55
Cleveland, TX,"7,469","3,054",4.5
Clewiston, FL,"12,849","4,761",5.5
Clifton Forge, VA,"5,127","2,759",4.5
Clifton Springs, NY,"6,383","2,900",4.2
Clinton, IL,"7,323","3,549",3.6
Clinton, IN,"6,484","3,130",3.1
Clinton, MO,"8,866","4,370",6.1
Clinton, NC,"9,315","4,127",9.1
Clinton, NJ,"16,136","6,161",10.5
Clinton, OK,"8,022","3,571",4.3
Clinton, SC,"9,143","4,046",8.5
Clinton_Fulton, IA_IL,"31,126","15,074",19.1
Clintonville, WI,"4,530","2,262",2.7
Cloquet, MN,"13,213","5,704",9.4
Clover, SC,"7,526","2,948",5.2
Cloverdale, CA,"9,451","3,718",3.4
Clovis, NM,"39,314","17,413",16.1
Clyde, OH,"6,549","2,825",4.8
Coal City_Braidwood, IL,"15,837","7,007",10.3
Coalinga, CA,"13,049","4,655",4.3
Coamo, PR,"30,344","14,143",16.3
Cobleskill, NY,"5,040","2,359",4.3
Cochran, GA,"6,159","2,408",5.5
Cody, WY,"9,999","5,060",6.9
Coeur d'Alene, ID,"121,831","51,420",46.8
Coffeyville, KS_OK,"9,391","4,814",7.4
Colby, KS,"5,467","2,479",3
Colchester, CT,"5,512","2,553",5
Cold Spring, MN,"5,099","2,211",3.2
Cold Springs, NV,"9,686","3,510",3.5
Coldwater, MI,"13,721","5,659",10.7
Coleman, TX,"3,599","2,129",2.8
College Station_Bryan, TX,"206,137","86,504",81.6
Collins, NY,"5,448","1,680",2.3
Collinsville, OK,"4,706","2,040",3.4
Colonial Beach, VA,"3,975","2,539",1.7
Colorado City, TX,"5,839","1,807",2.8
Colorado Springs, CO,"632,494","254,131",200.4
Columbia City, IN,"10,256","4,613",6
Columbia Falls, MT,"6,589","3,158",4.3
Columbia, KY,"5,018","2,036",3.4
Columbia, MO,"141,831","62,836",67.2
Columbia, MS,"6,236","2,826",6.3
Columbia, SC,"590,407","258,608",367.5
Columbia, TN,"42,423","18,828",30.1
Columbiana, OH,"9,160","4,571",7
Columbus, GA_AL,"267,746","117,135",142.9
Columbus, IN,"60,982","26,694",27.9
Columbus, MS,"26,895","12,698",20.1
Columbus, NE,"24,838","10,276",13.5
Columbus, OH,"1,567,254","672,389",516.2
Columbus, WI,"6,977","3,056",4.1
Colusa, CA,"6,955","2,677",3
Colville, WA,"5,058","2,328",3.2
Commerce, GA,"7,688","3,196",10.3
Commerce, TX,"8,320","3,217",3.3
Concord, NC,"278,612","111,573",200.1
Concord, NH,"42,549","18,694",26.6
Concordia, KS,"5,031","2,511",3.1
Concord_Walnut Creek, CA,"538,583","211,815",175.8
Conesus Lake, NY,"4,867","3,126",4.8
Conneaut Lakeshore, PA,"2,846","2,522",3.8
Conneaut, OH,"12,072","5,486",8.3
Connell, WA,"5,437","1,021",2.2
Connellsville, PA,"30,777","15,316",20.6
Connersville, IN,"14,401","7,049",7.5
Conway, AR,"66,619","29,045",32.9
Conway, NH,"5,272","3,777",8.8
Cookeville, TN,"49,089","22,181",45.5
Coolbaugh_Pocono Pines, PA,"24,893","13,218",19.7
